Column1;Команда №1;Команда №2;Счёт
;Динамо;КАМАЗ-Чаллы;1 : 0
;Локомотив;Спартак;1 : 0
;Ротор;Спартак-Алания;1 : 1
;Жемчужина;Ростсельмаш;1 : 3
;Черноморец;Торпедо М;0 : 1
;Крылья Советов;ЦСКА;1 : 2
;Уралмаш;Текстильщик;2 : 0
;Локомотив НН;Динамо-Газовик;0 : 0
;Торпедо М;Локомотив НН;2 : 0
;Спартак;Крылья Советов;5 : 1
;Спартак-Алания;Динамо;2 : 0
;Ростсельмаш;Уралмаш;2 : 0
;ЦСКА;Черноморец;4 : 0
;Текстильщик;Жемчужина;2 : 1
;Динамо-Газовик;Локомотив;2 : 3
;КАМАЗ-Чаллы;Ротор;2 : 0
;КАМАЗ-Чаллы;Жемчужина;3 : 0
;Динамо;Ростсельмаш;1 : 1
;Крылья Советов;Торпедо М;0 : 2
;Уралмаш;Спартак;0 : 0
;Локомотив НН;Спартак-Алания;2 : 4
;ЦСКА;Локомотив;0 : 1
;Текстильщик;Черноморец;2 : 0
;Динамо-Газовик;Ротор;1 : 6
;Черноморец;КАМАЗ-Чаллы;2 : 1
;Спартак;Динамо;2 : 0
;Спартак-Алания;Крылья Советов;1 : 1
;Ростсельмаш;Локомотив НН;2 : 1
;Ротор;ЦСКА;2 : 2
;Жемчужина;Динамо-Газовик;2 : 0
;Торпедо М;Уралмаш;3 : 0
;Локомотив;Текстильщик;2 : 0
;Ротор;Текстильщик;3 : 1
;Жемчужина;ЦСКА;0 : 3
;Черноморец;Динамо-Газовик;2 : 0
;Динамо;Торпедо М;0 : 0
;Крылья Советов;Ростсельмаш;2 : 6
;Уралмаш;Спартак-Алания;0 : 1
;Локомотив НН;Спартак;0 : 1
;Локомотив;КАМАЗ-Чаллы;1 : 0
;Локомотив;Черноморец;5 : 0
;Жемчужина;Ротор;2 : 1
;Спартак;Ростсельмаш;2 : 0
;Спартак-Алания;Торпедо М;0 : 0
;Динамо;Локомотив НН;2 : 0
;Крылья Советов;Уралмаш;3 : 2
;Текстильщик;ЦСКА;1 : 2
;Динамо-Газовик;КАМАЗ-Чаллы;0 : 0
;Ротор;Черноморец;5 : 1
;Жемчужина;Локомотив;0 : 1
;Локомотив НН;Крылья Советов;1 : 0
;ЦСКА;Динамо-Газовик;3 : 1
;КАМАЗ-Чаллы;Текстильщик;2 : 1
;Ростсельмаш;Спартак-Алания;0 : 1
;Спартак;Торпедо М;5 : 0
;Уралмаш;Динамо;0 : 2
;Локомотив;Ротор;4 : 3
;Спартак-Алания;Спартак;1 : 1
;Динамо;Крылья Советов;4 : 1
;Торпедо М;Ростсельмаш;1 : 0
;Черноморец;Жемчужина;4 : 0
;Локомотив НН;Уралмаш;3 : 1
;Текстильщик;Динамо-Газовик;3 : 1
;КАМАЗ-Чаллы;ЦСКА;0 : 0
;Крылья Советов;Ротор;3 : 3
;Уралмаш;Жемчужина;4 : 3
;Локомотив НН;Локомотив;0 : 2
;Текстильщик;Спартак-Алания;0 : 1
;Динамо-Газовик;Торпедо М;1 : 3
;Ростсельмаш;ЦСКА;1 : 3
;Динамо;Черноморец;2 : 0
;Спартак;КАМАЗ-Чаллы;2 : 0
;Спартак-Алания;Динамо-Газовик;4 : 0
;Локомотив;Уралмаш;0 : 1
;Ротор;Динамо;0 : 2
;Жемчужина;Локомотив НН;0 : 0
;Черноморец;Крылья Советов;2 : 0
;ЦСКА;Спартак;1 : 2
;КАМАЗ-Чаллы;Ростсельмаш;0 : 1
;Торпедо М;Текстильщик;0 : 0
;Крылья Советов;Локомотив;0 : 4
;Уралмаш;Черноморец;6 : 0
;ЦСКА;Спартак-Алания;1 : 2
;Текстильщик;Ростсельмаш;2 : 0
;КАМАЗ-Чаллы;Торпедо М;3 : 1
;Динамо;Жемчужина;4 : 3
;Локомотив НН;Ротор;1 : 1
;Динамо-Газовик;Спартак;0 : 6
;Спартак;Текстильщик;4 : 2
;Торпедо М;ЦСКА;1 : 2
;Спартак-Алания;КАМАЗ-Чаллы;0 : 0
;Ростсельмаш;Динамо-Газовик;3 : 0
;Локомотив;Динамо;1 : 1
;Ротор;Уралмаш;1 : 2
;Жемчужина;Крылья Советов;1 : 2
;Черноморец;Локомотив НН;2 : 3
;Торпедо-Лужники;Уралмаш;1 : 1
;Ростсельмаш;Динамо;1 : 2
;Зенит;КАМАЗ-Чаллы;2 : 1
;Спартак-Алания;Крылья Советов;1 : 0
;Балтика;Локомотив НН;1 : 3
;Черноморец;Энергия-Текстильщик;1 : 0
;Ротор;ЦСКА;2 : 0
;Локомотив;Лада;0 : 0
;Жемчужина;Спартак;1 : 3
