Column1;Команда №1;Команда №2;Счёт
;Крылья Советов;Ротор;0 : 1
;Спартак;Факел;3 : 1
;Ростсельмаш;Сатурн;2 : 0
;Алания;Динамо;0 : 1
;ЦСКА;Торпедо М;0 : 2
;Уралан;Локомотив НН;0 : 0
;Локомотив;Анжи;1 : 0
;Торпедо М;Зенит;1 : 1
;Черноморец;Ростсельмаш;1 : 2
;Сатурн;Алания;2 : 0
;Анжи;Крылья Советов;1 : 0
;Динамо;Уралан;1 : 0
;Факел;ЦСКА;2 : 1
;Ротор;Спартак;1 : 6
;Локомотив НН;Локомотив;0 : 1
;ЦСКА;Зенит;4 : 1
;Факел;Ротор;2 : 2
;Крылья Советов;Локомотив НН;2 : 1
;Алания;Черноморец;1 : 0
;Ростсельмаш;Торпедо М;0 : 1
;Уралан;Сатурн;1 : 2
;Спартак;Анжи;1 : 0
;Локомотив;Динамо;1 : 0
;Черноморец;Уралан;3 : 1
;Зенит;Ростсельмаш;0 : 0
;Динамо;Крылья Советов;2 : 0
;Торпедо М;Алания;2 : 0
;Локомотив НН;Спартак;0 : 2
;Ротор;ЦСКА;0 : 1
;Сатурн;Локомотив;1 : 1
;Анжи;Факел;4 : 0
;Зенит;Локомотив НН;2 : 0
;Ростсельмаш;Анжи;0 : 1
;Торпедо М;Динамо;1 : 1
;Уралан;Факел;0 : 1
;Алания;Ротор;2 : 0
;Черноморец;Сатурн;1 : 1
;ЦСКА;Крылья Советов;2 : 0
;Локомотив;Спартак;3 : 2
;Алания;Зенит;1 : 0
;Уралан;Торпедо М;2 : 3
;Крылья Советов;Сатурн;3 : 2
;Ротор;Анжи;2 : 2
;Факел;Локомотив НН;1 : 1
;Локомотив;Черноморец;0 : 3
;Спартак;Динамо;3 : 1
;ЦСКА;Ростсельмаш;1 : 1
;Зенит;Уралан;3 : 0
;Локомотив НН;Ротор;0 : 1
;Ростсельмаш;Алания;0 : 1
;Черноморец;Крылья Советов;3 : 0
;Динамо;Факел;2 : 2
;Анжи;ЦСКА;4 : 1
;Сатурн;Спартак;2 : 0
;Торпедо М;Локомотив;1 : 1
;Уралан;Ростсельмаш;0 : 0
;Анжи;Локомотив НН;4 : 0
;Факел;Сатурн;0 : 1
;Крылья Советов;Торпедо М;3 : 2
;Ротор;Динамо;2 : 4
;Локомотив;Зенит;1 : 1
;Спартак;Черноморец;3 : 1
;ЦСКА;Алания;0 : 1
;Черноморец;Факел;3 : 1
;Алания;Уралан;1 : 1
;Локомотив НН;ЦСКА;1 : 2
;Сатурн;Ротор;2 : 0
;Ростсельмаш;Локомотив;0 : 0
;Динамо;Анжи;2 : 1
;Торпедо М;Спартак;0 : 3
;Зенит;Крылья Советов;3 : 0
;ЦСКА;Уралан;0 : 2
;Факел;Торпедо М;1 : 2
;Ротор;Черноморец;1 : 1
;Анжи;Сатурн;2 : 0
;Крылья Советов;Ростсельмаш;0 : 3
;Локомотив НН;Динамо;0 : 3
;Локомотив;Алания;1 : 0
;Спартак;Зенит;1 : 2
;Сатурн;Локомотив НН;1 : 0
;Алания;Крылья Советов;4 : 3
;Зенит;Факел;5 : 0
;Торпедо М;Ротор;2 : 0
;Уралан;Локомотив;0 : 1
;Ростсельмаш;Спартак;2 : 3
;Черноморец;Анжи;3 : 0
;ЦСКА;Динамо;2 : 2
;Спартак;Торпедо М;4 : 2
;ЦСКА;Локомотив НН;5 : 0
;Факел;Черноморец;2 : 2
;Крылья Советов;Зенит;0 : 1
;Уралан;Алания;0 : 4
;Ротор;Сатурн;3 : 0
;Локомотив;Ростсельмаш;3 : 0
;Анжи;Динамо;2 : 2
;Динамо;Зенит;1 : 2
;Сатурн;Торпедо М;0 : 1
;Анжи;Алания;2 : 0
;Черноморец;ЦСКА;3 : 0
;Факел;Локомотив;0 : 0
;Спартак;Крылья Советов;1 : 2
;Ротор;Уралан;3 : 1
;Локомотив НН;Ростсельмаш;0 : 0
;Факел;Алания;0 : 0
;Локомотив НН;Торпедо М;0 : 1
;Сатурн;ЦСКА;2 : 1
;Динамо;Черноморец;2 : 2
;Крылья Советов;Локомотив;0 : 2
;Ротор;Ростсельмаш;3 : 0
;Спартак;Уралан;2 : 0
;Анжи;Зенит;3 : 2
;Уралан;Анжи;1 : 1
;Ростсельмаш;Динамо;2 : 1
;Алания;Локомотив НН;1 : 1
;Крылья Советов;Факел;1 : 1
;Зенит;Сатурн;1 : 1
;Торпедо М;Черноморец;2 : 1
;Локомотив;Ротор;4 : 1
;ЦСКА;Спартак;2 : 1
;Анжи;Локомотив;1 : 0
;Ротор;Крылья Советов;1 : 1
;Локомотив НН;Уралан;2 : 0
;Сатурн;Ростсельмаш;2 : 2
;Торпедо М;ЦСКА;0 : 1
;Динамо;Алания;4 : 2
;Факел;Спартак;1 : 0
;Черноморец;Зенит;1 : 1
;Спартак;Сатурн;3 : 0
;ЦСКА;Анжи;4 : 0
;Крылья Советов;Черноморец;0 : 0
;Ротор;Локомотив НН;2 : 2
;Алания;Ростсельмаш;2 : 0
;Уралан;Зенит;0 : 2
;Факел;Динамо;1 : 0
;Локомотив;Торпедо М;0 : 3
;Спартак;Ротор;5 : 2
;Алания;Сатурн;2 : 2
;Ростсельмаш;Черноморец;0 : 1
;ЦСКА;Факел;5 : 1
;Уралан;Динамо;0 : 1
;Зенит;Торпедо М;2 : 1
;Крылья Советов;Анжи;1 : 1
;Локомотив;Локомотив НН;2 : 0
;Зенит;ЦСКА;0 : 1
;Торпедо М;Ростсельмаш;1 : 1
;Динамо;Локомотив;2 : 2
;Анжи;Спартак;0 : 2
;Черноморец;Алания;1 : 1
;Локомотив НН;Крылья Советов;1 : 0
;Ротор;Факел;2 : 0
;Сатурн;Уралан;3 : 0
;ЦСКА;Ротор;1 : 1
;Факел;Анжи;0 : 1
;Локомотив;Сатурн;1 : 0
;Ростсельмаш;Зенит;0 : 0
;Уралан;Черноморец;1 : 2
;Крылья Советов;Динамо;0 : 2
;Алания;Торпедо М;2 : 1
;Спартак;Локомотив НН;3 : 1
;Сатурн;Крылья Советов;0 : 0
;Зенит;Алания;1 : 0
;Ростсельмаш;ЦСКА;1 : 1
;Торпедо М;Уралан;2 : 2
;Локомотив НН;Факел;1 : 0
;Анжи;Ротор;1 : 1
;Черноморец;Локомотив;0 : 3
;Динамо;Спартак;2 : 4
;Локомотив НН;Анжи;1 : 4
;Торпедо М;Крылья Советов;2 : 1
;Алания;ЦСКА;2 : 1
;Динамо;Ротор;2 : 0
;Сатурн;Факел;0 : 1
;Ростсельмаш;Уралан;3 : 0
;Зенит;Локомотив;1 : 2
;Черноморец;Спартак;1 : 4
;Ростсельмаш;Крылья Советов;2 : 0
;Динамо;Локомотив НН;3 : 1
;Черноморец;Ротор;3 : 0
;Сатурн;Анжи;0 : 0
;Алания;Локомотив;0 : 0
;Торпедо М;Факел;2 : 0
;Уралан;ЦСКА;1 : 5
;Зенит;Спартак;1 : 2
;Спартак;Ростсельмаш;1 : 0
;Локомотив;Уралан;9 : 0
;Крылья Советов;Алания;1 : 0
;Факел;Зенит;0 : 0
;Локомотив НН;Сатурн;0 : 0
;Анжи;Черноморец;2 : 1
;Ротор;Торпедо М;0 : 1
;Динамо;ЦСКА;1 : 0
;Уралан;Крылья Советов;0 : 1
;Черноморец;Локомотив НН;2 : 0
;Зенит;Ротор;3 : 1
;Ростсельмаш;Факел;1 : 1
;ЦСКА;Локомотив;4 : 3
;Алания;Спартак;1 : 2
;Сатурн;Динамо;1 : 0
;Торпедо М;Анжи;2 : 1
;Черноморец;ЦСКА;2 : 0
;Сатурн;Алания;1 : 0
;Ротор;Зенит;0 : 0
;Факел;Торпедо М;2 : 2
;Ростсельмаш;Локомотив;0 : 0
;Спартак;Сокол;0 : 0
;Торпедо-ЗИЛ;Анжи;1 : 1
;Динамо;Крылья Советов;0 : 1
;Алания;Факел;0 : 1
;Сокол;Ротор;1 : 0
;Зенит;Ростсельмаш;3 : 1
;Локомотив;Торпедо-ЗИЛ;1 : 0
;Анжи;Сатурн;1 : 1
;ЦСКА;Крылья Советов;0 : 3
;Торпедо М;Динамо;1 : 1
;Черноморец;Спартак;1 : 2
;Ростсельмаш;Сокол;1 : 2
;Факел;Анжи;0 : 1
;Динамо;Алания;2 : 0
;Ротор;Черноморец;3 : 0
;Сатурн;Локомотив;0 : 0
;Крылья Советов;Торпедо М;3 : 0
;Спартак;ЦСКА;1 : 0
;Торпедо-ЗИЛ;Зенит;0 : 2
;ЦСКА;Торпедо М;0 : 1
;Черноморец;Ростсельмаш;1 : 1
;Локомотив;Факел;1 : 0
;Анжи;Динамо;1 : 0
;Зенит;Сатурн;2 : 1
;Сокол;Торпедо-ЗИЛ;1 : 0
;Спартак;Ротор;1 : 0
;Алания;Крылья Советов;0 : 1
;Торпедо-ЗИЛ;Черноморец;2 : 0
;Торпедо М;Алания;0 : 1
;Ротор;ЦСКА;1 : 1
;Сатурн;Сокол;1 : 2
;Факел;Зенит;1 : 2
;Ростсельмаш;Спартак;0 : 1
;Крылья Советов;Анжи;0 : 0
;Динамо;Локомотив;1 : 2
;ЦСКА;Алания;3 : 0
;Ротор;Ростсельмаш;1 : 0
;Черноморец;Сатурн;0 : 3
;Анжи;Торпедо М;0 : 1
;Сокол;Факел;2 : 1
;Спартак;Торпедо-ЗИЛ;1 : 1
;Зенит;Динамо;2 : 1
;Локомотив;Крылья Советов;1 : 2
;Факел;Черноморец;0 : 1
;Алания;Анжи;2 : 1
;Динамо;Сокол;1 : 1
;Ростсельмаш;ЦСКА;0 : 1
;Сатурн;Спартак;3 : 0
;Торпедо М;Локомотив;1 : 1
;Крылья Советов;Зенит;1 : 0
;Торпедо-ЗИЛ;Ротор;3 : 2
;Ротор;Сатурн;1 : 0
;Локомотив;Алания;3 : 1
;Ростсельмаш;Торпедо-ЗИЛ;1 : 0
;Черноморец;Динамо;1 : 1
;Зенит;Торпедо М;0 : 3
;Сокол;Крылья Советов;1 : 0
;Спартак;Факел;3 : 0
;ЦСКА;Анжи;1 : 0
;Сатурн;Ростсельмаш;0 : 1
;Алания;Зенит;2 : 0
;Факел;Ротор;3 : 1
;Крылья Советов;Черноморец;0 : 0
;Анжи;Локомотив;1 : 0
;Динамо;Спартак;1 : 1
;Торпедо М;Сокол;6 : 2
;Торпедо-ЗИЛ;ЦСКА;0 : 2
;Торпедо-ЗИЛ;Сатурн;1 : 0
;Зенит;Анжи;1 : 1
;Ростсельмаш;Факел;1 : 0
;Ротор;Динамо;1 : 2
;Черноморец;Торпедо М;0 : 5
;Сокол;Алания;4 : 1
;Спартак;Крылья Советов;1 : 0
;ЦСКА;Локомотив;2 : 1
;Локомотив;Зенит;5 : 1
;Алания;Черноморец;1 : 0
;Факел;Торпедо-ЗИЛ;2 : 0
;Динамо;Ростсельмаш;3 : 1
;Анжи;Сокол;2 : 0
;Сатурн;ЦСКА;1 : 1
;Крылья Советов;Ротор;3 : 0
;Торпедо М;Спартак;2 : 0
;Сатурн;Факел;0 : 0
;Торпедо-ЗИЛ;Динамо;1 : 1
;Черноморец;Анжи;0 : 0
;Спартак;Алания;1 : 1
;Ростсельмаш;Крылья Советов;2 : 0
;Ротор;Торпедо М;1 : 1
;Сокол;Локомотив;1 : 2
;ЦСКА;Зенит;1 : 1
;Алания;Ротор;3 : 1
;Динамо;Сатурн;2 : 0
;Факел;ЦСКА;1 : 1
;Торпедо М;Ростсельмаш;2 : 1
;Зенит;Сокол;1 : 1
;Локомотив;Черноморец;4 : 0
;Крылья Советов;Торпедо-ЗИЛ;2 : 1
;Анжи;Спартак;1 : 2
;Ротор;Анжи;1 : 1
;Факел;Динамо;1 : 2
;ЦСКА;Сокол;4 : 0
;Ростсельмаш;Алания;3 : 0
;Черноморец;Зенит;1 : 4
;Сатурн;Крылья Советов;2 : 0
;Торпедо-ЗИЛ;Торпедо М;1 : 1
;Спартак;Локомотив;1 : 0
;Зенит;Спартак;2 : 1
;Алания;Торпедо-ЗИЛ;1 : 1
;Сокол;Черноморец;0 : 0
;Анжи;Ростсельмаш;0 : 1
;Локомотив;Ротор;2 : 0
;Торпедо М;Сатурн;1 : 4
;ЦСКА;Динамо;2 : 0
;Крылья Советов;Факел;3 : 1
;Ростсельмаш;Зенит;1 : 2
;Факел;Алания;1 : 0
;Ротор;Сокол;1 : 2
;Сатурн;Анжи;1 : 0
;Торпедо-ЗИЛ;Локомотив;0 : 4
;Спартак;Черноморец;5 : 0
;Крылья Советов;ЦСКА;0 : 0
;Динамо;Торпедо М;0 : 4
;Черноморец;Ротор;2 : 3
;Анжи;Факел;2 : 2
;Сокол;Ростсельмаш;1 : 1
;Локомотив;Сатурн;1 : 1
;Зенит;Торпедо-ЗИЛ;4 : 0
;Алания;Динамо;3 : 3
;Торпедо М;Крылья Советов;0 : 4
;ЦСКА;Спартак;1 : 1
;Ростсельмаш;Черноморец;0 : 0
;Динамо;Анжи;1 : 1
;Сатурн;Зенит;2 : 2
;Факел;Локомотив;2 : 0
;Крылья Советов;Алания;1 : 1
;Торпедо М;ЦСКА;1 : 3
;Ротор;Спартак;3 : 3
;Торпедо-ЗИЛ;Сокол;1 : 0
;Спартак;Ростсельмаш;5 : 1
;Черноморец;Торпедо-ЗИЛ;0 : 0
;Сокол;Сатурн;0 : 2
;Зенит;Факел;2 : 1
;ЦСКА;Ротор;2 : 1
;Алания;Торпедо М;2 : 0
;Анжи;Крылья Советов;4 : 1
;Локомотив;Динамо;4 : 1
;Крылья Советов;Локомотив;1 : 1
;Ростсельмаш;Ротор;1 : 2
;Алания;ЦСКА;0 : 0
;Факел;Сокол;0 : 1
;Торпедо М;Анжи;2 : 1
;Сатурн;Черноморец;4 : 0
;Торпедо-ЗИЛ;Спартак;0 : 2
;Динамо;Зенит;1 : 3
;Ротор;Торпедо-ЗИЛ;0 : 0
;Черноморец;Факел;1 : 0
;Анжи;Алания;3 : 2
;Сокол;Динамо;2 : 1
;ЦСКА;Ростсельмаш;0 : 0
;Зенит;Крылья Советов;1 : 1
;Локомотив;Торпедо М;3 : 1
;Спартак;Сатурн;0 : 0
;Анжи;ЦСКА;0 : 0
;Крылья Советов;Сокол;1 : 0
;Сатурн;Ротор;2 : 1
;Алания;Локомотив;1 : 1
;Торпедо М;Зенит;3 : 2
;Факел;Спартак;0 : 5
;Динамо;Черноморец;2 : 1
;Торпедо-ЗИЛ;Ростсельмаш;0 : 0
;ЦСКА;Торпедо-ЗИЛ;1 : 1
;Ротор;Факел;4 : 0
;Черноморец;Крылья Советов;0 : 0
;Зенит;Алания;3 : 0
;Сокол;Торпедо М;0 : 2
;Ростсельмаш;Сатурн;1 : 4
;Спартак;Динамо;2 : 1
;Локомотив;Анжи;4 : 0
;Локомотив;ЦСКА;3 : 2
;Факел;Ростсельмаш;4 : 1
;Торпедо М;Черноморец;3 : 1
;Алания;Сокол;2 : 0
;Анжи;Зенит;0 : 0
;Сатурн;Торпедо-ЗИЛ;1 : 0
;Динамо;Ротор;2 : 1
;Крылья Советов;Спартак;1 : 2
;Сокол;Спартак;2 : 4
;Алания;Сатурн;0 : 5
;Торпедо М;Факел;3 : 1
;ЦСКА;Черноморец;2 : 1
;Зенит;Ротор;2 : 1
;Крылья Советов;Динамо;3 : 0
;Анжи;Торпедо-ЗИЛ;0 : 2
;Локомотив;Ростсельмаш;0 : 0
;Ротор;Крылья Советов;3 : 1
;Торпедо-ЗИЛ;Факел;3 : 1
;ЦСКА;Сатурн;0 : 0
;Ростсельмаш;Динамо;1 : 1
;Черноморец;Алания;1 : 0
;Сокол;Анжи;2 : 0
;Зенит;Локомотив;0 : 0
;Спартак;Торпедо М;2 : 2
;Факел;Сатурн;1 : 0
;Алания;Спартак;3 : 3
;Локомотив;Сокол;3 : 0
;Зенит;ЦСКА;6 : 1
;Крылья Советов;Ростсельмаш;3 : 0
;Торпедо М;Ротор;1 : 1
;Анжи;Черноморец;3 : 1
;Динамо;Торпедо-ЗИЛ;2 : 1
;Ростсельмаш;Торпедо М;5 : 2
;ЦСКА;Факел;5 : 1
;Торпедо-ЗИЛ;Крылья Советов;1 : 0
;Сатурн;Динамо;6 : 1
;Черноморец;Локомотив;2 : 1
;Сокол;Зенит;0 : 1
;Ротор;Алания;3 : 0
;Спартак;Анжи;2 : 1
;Черноморец;Сокол;1 : 3
;Ростсельмаш;Анжи;3 : 2
;Факел;Крылья Советов;1 : 0
;Динамо;ЦСКА;3 : 1
;Сатурн;Торпедо М;0 : 1
;Ротор;Локомотив;1 : 3
;Спартак;Зенит;3 : 1
;Торпедо-ЗИЛ;Алания;1 : 1
;Анжи;Ротор;0 : 0
;Алания;Ростсельмаш;3 : 0
;Динамо;Факел;6 : 2
;Торпедо М;Торпедо-ЗИЛ;1 : 0
;Сокол;ЦСКА;0 : 2
;Крылья Советов;Сатурн;2 : 0
;Зенит;Черноморец;2 : 1
;Локомотив;Спартак;2 : 1
;Локомотив;Алания;1 : 0
;Шинник;Сатурн-Ren TV;1 : 3
;Крылья Советов;Уралан;1 : 1
;Спартак;Ростсельмаш;0 : 0
;Торпедо М;Сокол;1 : 0
;ЦСКА;Торпедо-ЗИЛ;4 : 0
;Анжи;Зенит;2 : 0
;Ротор;Динамо;0 : 0
;Спартак;Шинник;3 : 0
;Уралан;Локомотив;0 : 0
;Алания;Крылья Советов;1 : 4
;Сатурн-Ren TV;Ростсельмаш;2 : 0
;Зенит;Ротор;1 : 0
;Торпедо-ЗИЛ;Торпедо М;2 : 1
;Сокол;ЦСКА;0 : 1
;Динамо;Анжи;2 : 0
;Локомотив;Сатурн-Ren TV;2 : 0
;Шинник;Алания;2 : 0
;Ростсельмаш;Уралан;2 : 0
;Крылья Советов;Спартак;0 : 2
;Торпедо М;Динамо;2 : 0
;Анжи;Торпедо-ЗИЛ;0 : 0
;Ротор;Сокол;2 : 1
;ЦСКА;Зенит;1 : 0
;Спартак;Локомотив;1 : 2
;Уралан;Шинник;1 : 1
;Алания;Ростсельмаш;2 : 1
;Сатурн-Ren TV;Крылья Советов;3 : 1
;Зенит;Торпедо М;2 : 2
;Торпедо-ЗИЛ;Ротор;0 : 2
;Сокол;Анжи;1 : 0
;Динамо;ЦСКА;1 : 2
;Локомотив;Сокол;2 : 0
;Шинник;Динамо;2 : 1
;Ростсельмаш;Зенит;1 : 2
;Крылья Советов;Торпедо-ЗИЛ;0 : 0
;Ротор;Сатурн-Ren TV;1 : 1
;ЦСКА;Алания;1 : 0
;Анжи;Спартак;3 : 3
;Торпедо М;Уралан;2 : 2
;Спартак;Ротор;2 : 0
;Алания;Торпедо М;1 : 1
;Уралан;ЦСКА;3 : 3
;Сатурн-Ren TV;Анжи;1 : 1
;Зенит;Шинник;1 : 1
;Торпедо-ЗИЛ;Локомотив;0 : 2
;Сокол;Крылья Советов;0 : 0
;Динамо;Ростсельмаш;5 : 0
;Торпедо М;Спартак;1 : 2
;Локомотив;Динамо;3 : 0
;Шинник;Сокол;2 : 1
;Ростсельмаш;Торпедо-ЗИЛ;1 : 1
;Крылья Советов;Зенит;1 : 0
;Анжи;Уралан;1 : 1
;Ротор;Алания;2 : 1
;ЦСКА;Сатурн-Ren TV;2 : 3
;Уралан;Ротор;2 : 0
;Алания;Анжи;1 : 1
;Сатурн-Ren TV;Торпедо М;0 : 0
;Зенит;Локомотив;1 : 1
;Сокол;Ростсельмаш;1 : 2
;Динамо;Крылья Советов;0 : 1
;Спартак;ЦСКА;0 : 3
;Торпедо-ЗИЛ;Шинник;1 : 0
;Локомотив;Шинник;2 : 1
;Торпедо М;Анжи;3 : 0
;Крылья Советов;Ростсельмаш;3 : 2
;Уралан;Сатурн-Ren TV;1 : 2
;Алания;Спартак;4 : 3
;Сокол;Торпедо-ЗИЛ;0 : 0
;Динамо;Зенит;0 : 2
;ЦСКА;Ротор;2 : 0
;Торпедо-ЗИЛ;Динамо;0 : 2
;Шинник;Крылья Советов;4 : 2
;Ростсельмаш;Локомотив;2 : 3
;Анжи;ЦСКА;2 : 1
;Ротор;Торпедо М;1 : 0
;Спартак;Уралан;0 : 2
;Сатурн-Ren TV;Алания;1 : 0
;Зенит;Сокол;2 : 0
;Шинник;Ростсельмаш;1 : 1
;Крылья Советов;Локомотив;1 : 0
;Торпедо М;ЦСКА;2 : 3
;Ротор;Анжи;0 : 0
;Алания;Уралан;2 : 3
;Сатурн-Ren TV;Спартак;1 : 2
;Торпедо-ЗИЛ;Зенит;1 : 2
;Сокол;Динамо;0 : 1
;Шинник;Торпедо М;2 : 1
;Локомотив;Ротор;3 : 0
;Крылья Советов;Анжи;4 : 0
;Спартак;Сокол;2 : 1
;Алания;Динамо;1 : 2
;Сатурн-Ren TV;Торпедо-ЗИЛ;1 : 3
;Уралан;Зенит;3 : 3
;Ростсельмаш;ЦСКА;3 : 2
;ЦСКА;Шинник;2 : 0
;Анжи;Локомотив;0 : 0
;Динамо;Уралан;1 : 0
;Торпедо М;Ростсельмаш;0 : 1
;Ротор;Крылья Советов;2 : 0
;Зенит;Алания;2 : 1
;Сокол;Сатурн-Ren TV;0 : 0
;Торпедо-ЗИЛ;Спартак;0 : 2
;Локомотив;Уралан;1 : 0
;Шинник;Спартак;2 : 2
;Ростсельмаш;Сатурн-Ren TV;2 : 1
;Крылья Советов;Алания;1 : 0
;Торпедо М;Торпедо-ЗИЛ;2 : 1
;Анжи;Динамо;0 : 1
;Ротор;Зенит;2 : 1
;ЦСКА;Сокол;3 : 0
;Локомотив;ЦСКА;0 : 0
;Шинник;Анжи;6 : 0
;Ростсельмаш;Ротор;0 : 3
;Крылья Советов;Торпедо М;1 : 0
;Уралан;Сокол;1 : 1
;Алания;Торпедо-ЗИЛ;5 : 2
;Сатурн-Ren TV;Динамо;0 : 3
;Спартак;Зенит;4 : 3
;Динамо;Спартак;0 : 1
;Анжи;Ростсельмаш;4 : 1
;Торпедо М;Локомотив;2 : 2
;Ротор;Шинник;2 : 0
;Зенит;Сатурн-Ren TV;1 : 2
;Сокол;Алания;1 : 1
;Торпедо-ЗИЛ;Уралан;2 : 2
;ЦСКА;Крылья Советов;2 : 0
;Локомотив;Анжи;0 : 0
;Шинник;ЦСКА;1 : 1
;Ростсельмаш;Торпедо М;0 : 1
;Сатурн-Ren TV;Сокол;2 : 1
;Крылья Советов;Ротор;1 : 0
;Уралан;Динамо;1 : 3
;Алания;Зенит;1 : 0
;Спартак;Торпедо-ЗИЛ;2 : 1
;ЦСКА;Локомотив;0 : 1
;Анжи;Шинник;0 : 1
;Ротор;Ростсельмаш;0 : 0
;Сокол;Уралан;2 : 0
;Динамо;Сатурн-Ren TV;1 : 1
;Торпедо М;Крылья Советов;4 : 3
;Зенит;Спартак;0 : 1
;Торпедо-ЗИЛ;Алания;0 : 0
;Локомотив;Торпедо М;1 : 0
;Шинник;Ротор;1 : 0
;Ростсельмаш;Анжи;2 : 0
;Крылья Советов;ЦСКА;0 : 2
;Спартак;Динамо;1 : 0
;Уралан;Торпедо-ЗИЛ;1 : 0
;Алания;Сокол;3 : 2
;Сатурн-Ren TV;Зенит;1 : 2
;Ротор;Локомотив;0 : 2
;ЦСКА;Ростсельмаш;5 : 1
;Торпедо М;Шинник;2 : 0
;Зенит;Уралан;2 : 1
;Динамо;Алания;0 : 1
;Анжи;Крылья Советов;0 : 2
;Сокол;Спартак;2 : 2
;Торпедо-ЗИЛ;Сатурн-Ren TV;0 : 0
;Спартак;Анжи;2 : 1
;Сатурн-Ren TV;Ротор;2 : 1
;Зенит;Ростсельмаш;0 : 2
;Сокол;Локомотив;0 : 3
;Динамо;Шинник;0 : 1
;Уралан;Торпедо М;0 : 1
;Алания;ЦСКА;0 : 1
;Торпедо-ЗИЛ;Крылья Советов;0 : 2
;Спартак;Алания;2 : 1
;Ростсельмаш;Крылья Советов;0 : 3
;Анжи;Торпедо М;0 : 1
;Ротор;ЦСКА;0 : 1
;Сатурн-Ren TV;Уралан;5 : 2
;Торпедо-ЗИЛ;Сокол;2 : 0
;Шинник;Локомотив;0 : 0
;Зенит;Динамо;1 : 2
;Локомотив;Ростсельмаш;3 : 0
;Крылья Советов;Шинник;4 : 1
;Торпедо М;Ротор;3 : 1
;Алания;Сатурн-Ren TV;0 : 1
;Сокол;Зенит;2 : 2
;Динамо;Торпедо-ЗИЛ;1 : 1
;ЦСКА;Анжи;3 : 1
;Уралан;Спартак;1 : 1
;Спартак;Сатурн-Ren TV;0 : 2
;Динамо;Сокол;2 : 1
;Локомотив;Крылья Советов;2 : 0
;Ростсельмаш;Шинник;1 : 1
;Анжи;Ротор;2 : 1
;ЦСКА;Торпедо М;2 : 3
;Уралан;Алания;2 : 0
;Зенит;Торпедо-ЗИЛ;0 : 0
;Торпедо М;Зенит;1 : 1
;Шинник;Уралан;1 : 0
;Ростсельмаш;Алания;1 : 1
;Крылья Советов;Сатурн-Ren TV;1 : 0
;Анжи;Сокол;0 : 1
;Ротор;Торпедо-ЗИЛ;0 : 0
;ЦСКА;Динамо;2 : 3
;Локомотив;Спартак;1 : 1
;Ростсельмаш;Спартак;1 : 1
;Уралан;Крылья Советов;1 : 0
;Сатурн-Ren TV;Шинник;2 : 3
;Сокол;Торпедо М;0 : 4
;Динамо;Ротор;2 : 3
;Зенит;Анжи;2 : 2
;Торпедо-ЗИЛ;ЦСКА;0 : 2
;Алания;Локомотив;1 : 1
;Спартак;Крылья Советов;3 : 1
;Уралан;Ростсельмаш;0 : 0
;Алания;Шинник;2 : 1
;Сатурн-Ren TV;Локомотив;2 : 1
;Зенит;ЦСКА;0 : 2
;Сокол;Ротор;3 : 1
;Динамо;Торпедо М;3 : 3
;Торпедо-ЗИЛ;Анжи;1 : 0
;Локомотив;Торпедо-ЗИЛ;3 : 0
;Шинник;Зенит;1 : 1
;Ростсельмаш;Динамо;1 : 1
;Крылья Советов;Сокол;0 : 1
;Торпедо М;Алания;2 : 0
;Анжи;Сатурн-Ren TV;1 : 1
;Ротор;Спартак;0 : 3
;ЦСКА;Уралан;2 : 1
;ЦСКА;Спартак;2 : 1
;Локомотив;Зенит;2 : 1
;Шинник;Торпедо-ЗИЛ;2 : 0
;Ростсельмаш;Сокол;1 : 1
;Крылья Советов;Динамо;0 : 0
;Торпедо М;Сатурн-Ren TV;1 : 1
;Анжи;Алания;0 : 1
;Ротор;Уралан;2 : 0
;Спартак;Торпедо М;0 : 1
;Уралан;Анжи;0 : 1
;Алания;Ротор;0 : 1
;Сатурн-Ren TV;ЦСКА;0 : 3
;Зенит;Крылья Советов;1 : 2
;Торпедо-ЗИЛ;Ростсельмаш;2 : 0
;Сокол;Шинник;1 : 3
;Динамо;Локомотив;1 : 2
;ЦСКА;Локомотив;0 : 1
;Торпедо М;Ростов;1 : 1
;Торпедо-Металлург;Спартак;0 : 0
;Крылья Советов;Ротор;3 : 0
;Уралан;Локомотив;1 : 2
;Зенит;Сатурн-Ren TV;2 : 1
;Шинник;Черноморец;1 : 1
;ЦСКА;Рубин;4 : 0
;Спартак-Алания;Динамо;0 : 1
;Локомотив;Зенит;1 : 2
;Черноморец;Уралан;1 : 1
;Рубин;Торпедо-Металлург;1 : 0
;Ротор;ЦСКА;1 : 2
;Динамо;Крылья Советов;2 : 1
;Ростов;Шинник;1 : 1
;Сатурн-Ren TV;Торпедо М;2 : 0
;Спартак;Спартак-Алания;1 : 2
;Торпедо-Металлург;Динамо;0 : 1
;Шинник;Локомотив;1 : 1
;Спартак-Алания;Ротор;1 : 0
;ЦСКА;Спартак;3 : 2
;Крылья Советов;Рубин;0 : 0
;Зенит;Ростов;0 : 0
;Торпедо М;Черноморец;1 : 1
;Уралан;Сатурн-Ren TV;0 : 0
;Ростов;Уралан;1 : 0
;Локомотив;Торпедо М;1 : 2
;Черноморец;Зенит;1 : 0
;Сатурн-Ren TV;Шинник;2 : 1
;Рубин;Спартак-Алания;4 : 0
